"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"func@0xd55c0","0.0200044","[Unknown]","func@0xd55c0","[Unknown]","0"
"H5S_hyper_reset_scratch","0.0200041","[Unknown]","H5S_hyper_reset_scratch","[Unknown]","0"
"func@0x4e5d0","0.020004","[Unknown]","func@0x4e5d0","[Unknown]","0"
"func@0x4e9c0","0.0200039","[Unknown]","func@0x4e9c0","[Unknown]","0"
"func@0x2cf40","0.0200038","[Unknown]","func@0x2cf40","[Unknown]","0"
"func@0x37b570","0.0200037","[Unknown]","func@0x37b570","[Unknown]","0"
"H5open","0.0200034","[Unknown]","H5open","[Unknown]","0"
"nc_get_vara_float","0.0200029","[Unknown]","nc_get_vara_float","[Unknown]","0"
"output_variables_allocate_1d_pntr","0.0200027","[Unknown]","output_variables_allocate_1d_pntr","output_variables.f90","0"
"func@0x110b0","0.0200024","[Unknown]","func@0x110b0","[Unknown]","0"
"func@0x159320","0.0200015","[Unknown]","func@0x159320","[Unknown]","0"
"for__acquire_lun","0.0200006","[Unknown]","for__acquire_lun","[Unknown]","0"
"assign_variables_from_field_list","0.0200004","[Unknown]","assign_variables_from_field_list","mesh_io.F90","0"
"H5FL_blk_malloc","0.02","[Unknown]","H5FL_blk_malloc","[Unknown]","0"
"nc_inq_var","0.02","[Unknown]","nc_inq_var","[Unknown]","0"
"func@0xbd8d5","0.02","[Unknown]","func@0xbd8d5","[Unknown]","0"
"nc4_hdf5_find_grp_h5_var","0.02","[Unknown]","nc4_hdf5_find_grp_h5_var","[Unknown]","0"
"H5F_block_read","0.02","[Unknown]","H5F_block_read","[Unknown]","0"
"H5I_get_type","0.02","[Unknown]","H5I_get_type","[Unknown]","0"
"func@0x2931b0","0.02","[Unknown]","func@0x2931b0","[Unknown]","0"
"H5F_get_intent","0.02","[Unknown]","H5F_get_intent","[Unknown]","0"
"func@0x84d90","0.02","[Unknown]","func@0x84d90","[Unknown]","0"
"runmesh","0.0199998","[Unknown]","runmesh","MESH_driver.f90","0"
"pthread_self","0.0199994","[Unknown]","pthread_self","pthread_self.c","0"
"H5FL_seq_malloc","0.0199992","[Unknown]","H5FL_seq_malloc","[Unknown]","0"
"func@0x2b330","0.0199941","[Unknown]","func@0x2b330","[Unknown]","0"
"resumerun_read","0.0100304","[Unknown]","resumerun_read","resumerun_read.f90","0"
"H5T_path_noop","0.010026","[Unknown]","H5T_path_noop","[Unknown]","0"
"nc4_convert_type","0.0100225","[Unknown]","nc4_convert_type","[Unknown]","0"
"H5Pcreate","0.0100211","[Unknown]","H5Pcreate","[Unknown]","0"
"H5S_hyper_normalize_offset","0.0100189","[Unknown]","H5S_hyper_normalize_offset","[Unknown]","0"
"basin_info_from_field_list","0.0100186","[Unknown]","basin_info_from_field_list","basin_utilities.f90","0"
"H5A__get_info","0.0100161","[Unknown]","H5A__get_info","[Unknown]","0"
"func@0x2ac060","0.010009","[Unknown]","func@0x2ac060","[Unknown]","0"
"func@0x2dab0","0.0100085","[Unknown]","func@0x2dab0","[Unknown]","0"
"for__acquire_threadstor_threads","0.0100075","[Unknown]","for__acquire_threadstor_threads","[Unknown]","0"
"H5O_msg_reset_share","0.0100073","[Unknown]","H5O_msg_reset_share","[Unknown]","0"
"func@0x292ea0","0.0100071","[Unknown]","func@0x292ea0","[Unknown]","0"
"nc4_find_dim","0.0100067","[Unknown]","nc4_find_dim","[Unknown]","0"
"func@0x4d1e0","0.0100067","[Unknown]","func@0x4d1e0","[Unknown]","0"
